iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
236,0.2,128,50,3,0,sigmoid,normal,,0.7529417485169698,0.8372072780587108,251.90636944770813,13
237,0.2,128,50,3,0.2,sigmoid,zero,,0.7529903724593989,0.8371965540927977,287.1458237171173,13
238,0.2,128,50,3,0.2,sigmoid,uniform,,0.7536808324418943,0.8377901831115541,275.44886922836304,13
239,0.2,128,50,3,0.2,sigmoid,normal,,0.7548478070601964,0.8386222994059559,275.9262044429779,13
240,0.2,128,50,3,0.4,sigmoid,zero,,0.7462121948847614,0.8022389772868974,258.72739601135254,13
241,0.2,128,50,3,0.4,sigmoid,uniform,,0.7502479821063891,0.8351662944164645,268.9235761165619,13
242,0.2,128,50,3,0.4,sigmoid,normal,,0.7535155110376349,0.8375584559326128,263.83657479286194,13
243,0.2,32,100,1,0,selu,zero,,0.6033550520276184,0.7496210765144661,783.9485471248627,13
244,0.2,32,100,1,0,selu,uniform,,0.809540017504619,0.8355015778277345,790.3385725021362,13
245,0.2,32,100,1,0,selu,normal,,0.824321696003112,0.8679906243068224,706.3549289703369,13
246,0.2,32,100,1,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,724.7564566135406,13
247,0.2,32,100,1,0.2,selu,uniform,,0.7560634056209278,0.8357168484240917,701.6872012615204,13
248,0.2,32,100,1,0.2,selu,normal,,0.7564329475833901,0.8344223617632913,701.827136516571,13
249,0.2,32,100,1,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,701.9331595897675,13
250,0.2,32,100,1,0.4,selu,uniform,,0.752017893610814,0.8361408534140969,691.2683289051056,13
251,0.2,32,100,1,0.4,selu,normal,,0.7483127491977049,0.8330635677281025,716.9648997783661,13
252,0.2,32,100,2,0,selu,zero,,0.6033550520276184,0.7496210765144661,729.0607087612152,13
253,0.2,32,100,2,0,selu,uniform,,0.7914908100748809,0.8336739301585803,726.7937250137329,13
254,0.2,32,100,2,0,selu,normal,,0.7805795973937567,0.8374780412413735,694.0791480541229,13
255,0.2,32,100,2,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,756.8151791095734,13
256,0.2,32,100,2,0.2,selu,uniform,,0.7513079840513469,0.8298361350630857,760.9750294685364,13
257,0.2,32,100,2,0.2,selu,normal,,0.7476125644267235,0.8252189539583935,761.833753824234,13
258,0.2,32,100,2,0.4,selu,zero,,0.6033550520276184,0.7496210765144661,768.370799779892,13
259,0.2,32,100,2,0.4,selu,uniform,,0.7491977049499173,0.8335208327111767,779.2892248630524,13
260,0.2,32,100,2,0.4,selu,normal,,0.74785568413887,0.8322064093430038,776.6072361469269,13
261,0.2,32,100,3,0,selu,zero,,0.6033550520276184,0.7496210765144661,850.0876348018646,13
262,0.2,32,100,3,0,selu,uniform,,0.7646017699115044,0.827404013023389,837.8157479763031,13
263,0.2,32,100,3,0,selu,normal,,0.7724204998541282,0.8252660014318752,835.6043078899384,13
264,0.2,32,100,3,0.2,selu,zero,,0.6033550520276184,0.7496210765144661,898.7115294933319,13
