iteration,test_split,batch,epoch,layer,dropout,activation,initializer,rmse,accuracy,f_score,time_train,lag
157,0.2,64,50,3,0.2,sigmoid,uniform,,0.8487211903141108,0.8012126897351667,413.3427052497864,13
158,0.2,64,50,3,0.2,sigmoid,normal,,0.852348536419333,0.8063996958135214,424.12018299102783,13
159,0.2,64,50,3,0.4,sigmoid,zero,,0.847719537100068,0.7925934861850326,453.4757339954376,13
160,0.2,64,50,3,0.4,sigmoid,uniform,,0.8472851632143666,0.7922657694396528,440.4038269519806,13
161,0.2,64,50,3,0.4,sigmoid,normal,,0.8550196116567796,0.8078608272500905,510.46101355552673,13
162,0.2,128,50,1,0,selu,zero,,0.6117540276832312,0.23562750389610052,250.16330099105835,13
163,0.2,128,50,1,0,selu,uniform,,0.580433725566469,0.016344805076785224,261.31869173049927,13
164,0.2,128,50,1,0,selu,normal,,0.5818114039352978,0.020390508002219754,238.51843929290771,13
165,0.2,128,50,1,0.2,selu,zero,,0.6117540276832312,0.23562750389610052,294.61276960372925,13
166,0.2,128,50,1,0.2,selu,uniform,,0.5805406982398134,0.006783799334239035,250.1597683429718,13
167,0.2,128,50,1,0.2,selu,normal,,0.5818892022431846,0.021337389689301992,260.72929883003235,13
168,0.2,128,50,1,0.4,selu,zero,,0.6117540276832312,0.23562750389610052,283.1174464225769,13
169,0.2,128,50,1,0.4,selu,uniform,,0.5840707964601771,0.03280995423511823,251.81030893325806,13
170,0.2,128,50,1,0.4,selu,normal,,0.5831048008039159,0.03174339213651909,275.3337004184723,13
171,0.2,128,50,2,0,selu,zero,,0.6117540276832312,0.23562750389610052,289.61810278892517,13
172,0.2,128,50,2,0,selu,uniform,,0.580566631009109,0.0035926995640578226,281.9921486377716,13
173,0.2,128,50,2,0,selu,normal,,0.5803786184317159,0.0038978162678579794,286.20105361938477,13
174,0.2,128,50,2,0.2,selu,zero,,0.6117540276832312,0.23562750389610052,288.2625331878662,13
175,0.2,128,50,2,0.2,selu,uniform,,0.580492074297384,0.0034972169489778148,319.22003078460693,13
176,0.2,128,50,2,0.2,selu,normal,,0.5805504230282992,0.0020162307202275472,282.0397849082947,13
177,0.2,128,50,2,0.4,selu,zero,,0.6117540276832312,0.23562750389610052,327.78258514404297,13
178,0.2,128,50,2,0.4,selu,uniform,,0.5807449187980163,0.0038195997762217057,315.9055950641632,13
179,0.2,128,50,2,0.4,selu,normal,,0.5807708515673118,0.0032306510438824413,313.7879812717438,13
180,0.2,128,50,3,0,selu,zero,,0.6117540276832312,0.23562750389610052,337.61202907562256,13
181,0.2,128,50,3,0,selu,uniform,,0.58075140199034,0.0026212530396912516,298.7820370197296,13
182,0.2,128,50,3,0,selu,normal,,0.5807092612402347,0.002402721068502708,305.8135666847229,13
183,0.2,128,50,3,0.2,selu,zero,,0.6117540276832312,0.23562750389610052,323.7772340774536,13
184,0.2,128,50,3,0.2,selu,uniform,,0.5803332360854485,0.0,333.6370379924774,13
185,0.2,128,50,3,0.2,selu,normal,,0.5803332360854485,0.0,313.80240058898926,13
186,0.2,128,50,3,0.4,selu,zero,,0.6117540276832312,0.23562750389610052,349.3545207977295,13
187,0.2,128,50,3,0.4,selu,uniform,,0.5803332360854485,0.0,370.1767098903656,13
188,0.2,128,50,3,0.4,selu,normal,,0.5803332360854485,0.0,420.7216727733612,13
189,0.2,128,50,1,0,tanh,zero,,0.6117540276832312,0.23562750389610052,270.1246404647827,13
190,0.2,128,50,1,0,tanh,uniform,,0.7808907906253039,0.7029992126946408,302.5830750465393,13
191,0.2,128,50,1,0,tanh,normal,,0.7755875393043533,0.6949574528724625,308.8980085849762,13
192,0.2,128,50,1,0.2,tanh,zero,,0.6117540276832312,0.23562750389610052,327.7424349784851,13
193,0.2,128,50,1,0.2,tanh,uniform,,0.8106389186035206,0.7443181138411809,295.28589391708374,13
194,0.2,128,50,1,0.2,tanh,normal,,0.8079872929430453,0.7414432728852567,298.6574285030365,13
195,0.2,128,50,1,0.4,tanh,zero,,0.6117540276832312,0.23562750389610052,323.97625255584717,13
196,0.2,128,50,1,0.4,tanh,uniform,,0.8184576485461442,0.755241477920379,271.0991487503052,13
197,0.2,128,50,1,0.4,tanh,normal,,0.8132484035138903,0.747760003136362,319.85062193870544,13
198,0.2,128,50,2,0,tanh,zero,,0.6117540276832312,0.23562750389610052,381.5177137851715,13
199,0.2,128,50,2,0,tanh,uniform,,0.7796427761029531,0.7003397288130787,339.0555272102356,13
200,0.2,128,50,2,0,tanh,normal,,0.7618464131738466,0.6697158507302206,272.463481426239,13
201,0.2,128,50,2,0.2,tanh,zero,,0.6117540276832312,0.23562750389610052,385.1448175907135,13
202,0.2,128,50,2,0.2,tanh,uniform,,0.7931634736944472,0.7189240363454706,407.39138078689575,13
203,0.2,128,50,2,0.2,tanh,normal,,0.78477422282732,0.7046757225778515,386.840571641922,13
204,0.2,128,50,2,0.4,tanh,zero,,0.6117540276832312,0.23562750389610052,328.6505937576294,13
205,0.2,128,50,2,0.4,tanh,uniform,,0.7951311225647508,0.7178041015548126,372.55377888679504,13
206,0.2,128,50,2,0.4,tanh,normal,,0.7934390093682125,0.7150269881224579,389.0495054721832,13
207,0.2,128,50,3,0,tanh,zero,,0.6117540276832312,0.23562750389610052,408.36266922950745,13
208,0.2,128,50,3,0,tanh,uniform,,0.7645207300074557,0.6771016574399359,269.2419981956482,13
209,0.2,128,50,3,0,tanh,normal,,0.747149016175565,0.6498114964733857,299.65006947517395,13
210,0.2,128,50,3,0.2,tanh,zero,,0.6117540276832312,0.23562750389610052,309.204959154129,13
211,0.2,128,50,3,0.2,tanh,uniform,,0.7594962559564328,0.6651304261367766,319.10686469078064,13
212,0.2,128,50,3,0.2,tanh,normal,,0.7440921909948459,0.6428889029503654,303.5350160598755,13
213,0.2,128,50,3,0.4,tanh,zero,,0.6117540276832312,0.23562750389610052,314.3538815975189,13
214,0.2,128,50,3,0.4,tanh,uniform,,0.7813770300495965,0.6960975332459426,344.6912376880646,13
215,0.2,128,50,3,0.4,tanh,normal,,0.7648870303737562,0.670198470842252,367.08860754966736,13
